,Name,Entrynumber,Timestamp,Totaltime,Status
65,FhumgZBBxP,8401NUR1949," 11:00:30 AM, 11:01:14 AM,0.7333333333333333
, 11:01:14 AM, 12:25:05 PM,83.85
,",84.58,Present
66,ZDjJhirmzq,6517XVY7245," 11:00:31 AM, 11:47:23 AM,46.86666666666667
,",46.87,Present
67,HFKKapiOpv,1022TDR8179," 11:00:34 AM, 11:00:37 AM,0.05
,",0.05,Absent
68,EzYiIeBVXf,8875ECV5523," 11:00:36 AM, 11:00:46 AM,0.16666666666666666
, 11:01:10 AM, 12:25:07 PM,83.95
,",84.12,Present
69,bEoGvOpCCf,0214ZEW4211," 11:00:37 AM, 11:01:15 AM,0.6333333333333333
, 11:01:15 AM, 11:23:00 AM,21.75
, 12:12:13 PM, 12:22:38 PM,10.416666666666666
,",32.8,Absent
70,dDqKrGdTXp,5963TPT0266," 11:00:44 AM, 11:01:14 AM,0.5
, 11:01:14 AM, 11:21:55 AM,20.683333333333334
,",21.18,Absent
71,XxgDQeCROq,6669QCN5561," 11:00:46 AM, 12:24:38 PM,83.86666666666666
,",83.87,Present
72,yGFitETYYX,1847UYX8246," 11:00:47 AM, 11:01:11 AM,0.4
,",0.4,Absent
73,jOMmUhrrum,7441LZC5786," 11:00:51 AM, 12:25:04 PM,84.21666666666667
,",84.22,Present
74,LnQiiJvQNG,1136NFP0311," 11:00:56 AM, 11:01:00 AM,0.06666666666666667
, 11:01:10 AM, 11:07:54 AM,6.733333333333333
, 11:10:56 AM, 11:13:12 AM,2.2666666666666666
,",9.07,Absent
75,YRkZrewLFT,0139LYY5530," 11:01:01 AM, 11:01:13 AM,0.2
, 11:01:13 AM, 12:24:29 PM,83.26666666666667
,",83.47,Present
76,yRTizWDYpn,," 11:01:03 AM, 11:05:09 AM,4.1
, 11:05:12 AM, 11:07:02 AM,1.8333333333333333
,",5.93,Absent
77,HaLMViUpSX,5913WDX3461," 11:01:13 AM, 12:24:31 PM,83.3
,",83.3,Present
78,OdCZPrisJv,1549ARU6330," 11:01:15 AM, 11:01:32 AM,0.2833333333333333
, 11:01:32 AM, 12:24:32 PM,83.0
,",83.28,Present
79,zwwCXzrFgt,9217TZY2307," 11:01:17 AM, 11:03:05 AM,1.8
, 11:02:50 AM, 11:03:22 AM,0.5333333333333333
, 11:03:22 AM, 11:07:12 AM,3.8333333333333335
, 11:06:27 AM, 12:15:03 PM,68.6
, 12:13:07 PM, 12:25:08 PM,12.016666666666667
,",86.78,Present
80,QzmlKnrqdM,2574QES4650," 11:01:23 AM, 12:30:00 PM,88.61666666666666
",0,Absent
81,oLXNJdcJHQ,4619LUN9375," 11:01:33 AM, 12:03:59 PM,62.43333333333333
,",62.43,Present
82,ZscUHTjCeB,2506UPC1285," 11:01:34 AM, 11:12:49 AM,11.25
,",11.25,Absent
83,FuBBrMzovM,," 11:01:38 AM, 12:25:28 PM,83.83333333333333
,",83.83,Present
84,NDXhUsHKPd,4189MML6687," 11:01:42 AM, 11:02:18 AM,0.6
, 11:03:42 AM, 11:41:47 AM,38.083333333333336
,",38.68,Absent
85,ROAksBmXKO,1745LXI0053," 11:01:42 AM, 11:01:49 AM,0.11666666666666667
, 11:03:06 AM, 11:03:13 AM,0.11666666666666667
, 11:04:26 AM, 11:31:12 AM,26.766666666666666
, 11:32:21 AM, 12:21:46 PM,49.416666666666664
,",76.42,Present
86,zMQzzyyvHG,2698JIY9083," 11:01:44 AM, 12:16:50 PM,75.1
,",75.1,Present
87,oasqZpdZlR,2848YJV3237," 11:01:47 AM, 12:24:35 PM,82.8
,",82.8,Present
88,WUnvJEiCOH,9775AQZ4584," 11:01:49 AM, 11:01:58 AM,0.15
, 11:01:58 AM, 11:03:24 AM,1.4333333333333333
, 11:03:28 AM, 12:25:03 PM,81.58333333333333
,",83.17,Present
89,kWQxhppYHv,4759JWX7056," 11:01:49 AM, 11:37:50 AM,36.016666666666666
, 11:38:00 AM, 12:16:12 PM,38.2
, 12:17:57 PM, 12:25:14 PM,7.283333333333333
,",81.5,Present
90,mASJVjPfZM,6624JTX8745," 11:01:57 AM, 11:37:08 AM,35.18333333333333
,",35.18,Absent
91,UeJjSpwZLA,1513KOY7146," 11:02:03 AM, 12:30:00 PM,87.95
",0,Absent
92,EprfyYImHV,0468JCQ6471," 11:02:04 AM, 12:24:44 PM,82.66666666666667
,",82.67,Present
93,bFHjXDuOEv,9711CSD4894," 11:02:06 AM, 12:25:00 PM,82.9
,",82.9,Present
94,WUXctleqoq,9403KPN9735," 11:02:11 AM, 12:30:00 PM,87.81666666666666
",0,Absent
95,ILTRybPlEi,6008ZGZ3675," 11:02:14 AM, 12:24:51 PM,82.61666666666666
,",82.62,Present
96,nHMvHmdvia,5795PDI7527," 11:02:14 AM, 12:25:03 PM,82.81666666666666
,",82.82,Present
97,isWDpCeoyv,7058BJY2882," 11:02:33 AM, 12:24:56 PM,82.38333333333334
,",82.38,Present
98,ckanBUtlde,," 11:02:34 AM, 11:34:36 AM,32.03333333333333
, 11:35:02 AM, 12:25:04 PM,50.03333333333333
,",82.07,Present
99,ujtxtimmEQ,8865LFJ1266," 11:02:43 AM, 11:02:59 AM,0.26666666666666666
, 11:03:19 AM, 12:25:01 PM,81.7
,",81.97,Present
100,bevVlWQxda,7486XCM8170," 11:02:49 AM, 11:03:24 AM,0.5833333333333334
, 11:03:24 AM, 12:24:58 PM,81.56666666666666
,",82.15,Present
101,eJzgrjWRRj,8573RER0783," 11:02:49 AM, 12:24:58 PM,82.15
,",82.15,Present
102,BlUVnMBCyw,7077MOD4022," 11:02:50 AM, 11:03:01 AM,0.18333333333333332
,",0.18,Absent
103,qHWOAjntMj,5833YPO1872," 11:03:01 AM, 12:26:57 PM,83.93333333333334
,",83.93,Present
104,IFtcDyjYAb,1501DIH8512," 11:03:14 AM, 12:24:55 PM,81.68333333333334
,",81.68,Present
105,MXLDchWXkS,9163GPU8119," 11:03:18 AM, 11:03:24 AM,0.1
, 11:03:24 AM, 11:32:11 AM,28.783333333333335
, 11:36:23 AM, 12:05:40 PM,29.283333333333335
, 12:05:51 PM, 12:25:01 PM,19.166666666666668
,",77.33,Present
106,rDSSIUiBmA,7715HZC7005," 11:03:40 AM, 12:14:23 PM,70.71666666666667
, 12:14:30 PM, 12:25:04 PM,10.566666666666666
,",81.28,Present
107,xXEDCWzOIP,7823TZJ1544," 11:03:54 AM, 12:23:36 PM,79.7
,",79.7,Present
108,tJlACwsVky,2400JSL9809," 11:04:00 AM, 11:04:13 AM,0.21666666666666667
,",0.22,Absent
109,CkOdgipurk,9264WTW7119," 11:04:03 AM, 11:38:12 AM,34.15
, 11:51:34 AM, 12:09:48 PM,18.233333333333334
, 12:18:24 PM, 12:25:10 PM,6.766666666666667
,",59.15,Present
110,MlygvhKdHJ,8672HZK3729," 11:04:20 AM, 11:05:16 AM,0.9333333333333333
,",0.93,Absent
